Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [DANESWARA PRINTING],Price [DANESWARA PRINTING],In stock [DANESWARA PRINTING],Low stock [DANESWARA PRINTING],"Modifier - ""EXTRA LARGE"""
apron,10117,APRON,,,N,APRON,Drill SS,,,,,62000,,,,N,Y,variable,,,Y
apron,10158,,,,,,Gold K,,,,,65000,,,,,Y,75000,,,
apron,10111,,,,,,SERIES,,,,,130000,,,,,Y,variable,,,
apron,10108,,,,,,WP,,,,,70000,,,,,Y,variable,,,
art-paper,10036,Art Paper,,,N,Art Paper dan BW,A4 AP 120,,,,,2500,,,,N,Y,8000,,,N
art-paper,10035,,,,,,A4 AP 260,,,,,1400,,,,,Y,variable,,,N
art-paper,10037,,,,,,A4 AP 310,,,,,2500,,,,,Y,8000,,,N
art-paper,10038,,,,,,A4 BW 310,,,,,2500,,,,,Y,8000,,,N
art-paper,10028,,,,,,AP 120,,,,,5000,,,,,Y,variable,,,N
art-paper,10279,,,,,,AP 150 A5 1SS,,,,,825,,,,,Y,1700,,,N
art-paper,10027,,,,,,AP 260,,,,,4000,,,,,Y,variable,,,N
art-paper,10029,,,,,,AP 310,,,,,5000,,,,,Y,variable,,,N
art-paper,10263,,,,,,AP 310 A5 Laminasi,,,,,1000,,,,,Y,8500,,,N
art-paper,10097,,,,,,AP 310+Die Cut (PC),,,,,8700,,,,,Y,15000,,,N
art-paper,10294,,,,,,AP210 LARGE 4060,,,,,28000,,,,,Y,variable,,,N
art-paper,10290,,,,,,AntrianA7+Laminating,,,,,1900,,,,,Y,variable,,,N
art-paper,10030,,,,,,BW 310,,,,,5000,,,,,Y,variable,,,N
art-paper,10258,,,,,,HVS A4,,,,,800,,,,,Y,2000,,,N
art-paper,10238,,,,,,POSTER 40X60,,,,,19000,,,,,Y,25000,,,N
art-paper,10254,,,,,,UNDANGAN 14x22 260g,,,,,3500,,,,,Y,5500,,,N
banner,10148,BANNER,,,N,Frontlight,380GSM (LB 1Mtr),,,,,25000,,,,Y,Y,40000,-5.000,,N
banner,10236,,,,,,BANNER SEGITIGA KAYU,,,,,150000,,,,,Y,180000,-1.000,,N
banner,10284,,,,,,BL bahan 2 Meter,,,,,60000,,,,,Y,85000,-4.000,,N
banner,10283,,,,,,FL 440,,,,,50000,,,,,Y,60000,-3.000,,N
banner,10264,,,,,,FL 440Gsm Hi-Ress,,,,,32500,,,,,Y,47500,-2.000,,N
banner,10293,,,,,,GERMAN 510gr,,,,,60000,,,,,Y,variable,-24.000,,N
banner,10150,,,,,,Jergam Doff (LB 2mt),,,,,60000,,,,,Y,120000,0.000,,N
banner,10272,,,,,,KOREA 325 Lbr,,,,,97500,,,,,Y,variable,-2.000,,N
banner,10149,,,,,,Korea (LB 2mt),,,,,40000,,,,,Y,80000,-4.000,,N
banner,10147,,,,,,STD (LB 1 Mtr),,,,,18000,,,,,Y,28000,-3.000,,N
banner,10167,,,,,,X - BANNER Standar,,,,,65000,,,,,Y,variable,-2.000,,N
banner,10168,,,,,,X- BANNER PREMIUM,,,,,85000,,,,,Y,variable,0.000,,N
banner,10253,,,,,,X-BANNER MINI,,,,,25000,,,,,Y,40000,-2.000,,N
oversize-bsa,10100,Basic Stuff,,,N,BASIC APP,LONGSLEEVE,,,,,55000,,,,N,N,65000,,,N
oversize-bsa,10096,,,,,,OVERSIZE ER,,,,,55000,,,,,N,60000,,,N
oversize-bsa,10003,,,,,,OVERSIZE HR,,,,,55000,,,,,Y,variable,,,N
oversize-bsa,10261,,,,,,OVS BOXY,,,,,79000,,,,,Y,85000,,,N
oversize-bsa,10014,,,,,,OVS STONE WASH,,,,,65000,,,,,Y,75000,,,N
oversize-bsa,10265,,,,,,SINGLET,,,,,40000,,,,,Y,variable,,,N
bendera,10104,Bendera,,,N,Bahan Satin 1 Sisi,Lebar Bahan 1M,,,,,45000,,,,N,Y,variable,,,N
bordir,10289,Bordir,,<p>1 warna Ukuran Logo 10 x 10 cm</p>,N,Bordir Logo,PATCH Bordir CL 24p,,,,,12000,,,,N,Y,variable,,,N
bordir,10287,,,,,,PATCH Bordir Ecer,,,,,20000,,,,,Y,25000,,,N
